timestamp,project,application,micro_application,title,description,steps,expected_result,actual_result,status,remarks,comments
29-01-2026 16:41,Hitachi Tower Track,Authentication,Login,Login Validation,Username textbox,Enter value in Username textbox,Username textbox should accept input,Entered value: user@gmail.com,PASS,,
29-01-2026 16:41,Hitachi Tower Track,Authentication,Login,Login Validation,Password textbox,Enter value in Password textbox,Password textbox should accept input,Entered value: 12345,PASS,,
29-01-2026 16:41,Hitachi Tower Track,Authentication,Login,Login Validation,Remember Me checkbox,Click on Remember Me checkbox,Remember Me checkbox should be clickable,Clicked successfully,PASS,,
29-01-2026 16:41,Hitachi Tower Track,Authentication,Login,Login Validation,LOGIN button,Click on LOGIN button,LOGIN button should be clickable,Clicked successfully,PASS,,
29-01-2026 16:43,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,USA data point,Click on USA data point,USA data point should be clickable,Clicked successfully,PASS,,
29-01-2026 16:43,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,IRL data point,Click on IRL data point,IRL data point should be clickable,Clicked successfully,PASS,,
29-01-2026 16:43,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,Competitor filter,Click on Competitor filter,Competitor filter should be clickable,Clicked successfully,PASS,,
29-01-2026 16:43,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,ISG competitor checkbox,Click on ISG competitor checkbox,ISG competitor checkbox should be clickable,Clicked successfully,PASS,,
29-01-2026 16:43,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,Search competitor,Click on Search competitor,Search competitor should be clickable,Clicked successfully,PASS,,
29-01-2026 16:43,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,IRL data point,Click on IRL data point,IRL data point should be clickable,Clicked successfully,PASS,,
29-01-2026 16:43,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,CHN data point,Click on CHN data point,CHN data point should be clickable,Clicked successfully,PASS,,
29-01-2026 16:43,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,Topic discovery dropdown,Select topic_discovery from Topic discovery dropdown,topic_discovery should be selectable,Selected topic_discovery,PASS,,
29-01-2026 16:43,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,Topic discovery chart line,Click on Topic discovery chart line,Topic discovery chart line should be clickable,Clicked successfully,PASS,,
29-01-2026 16:43,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,Chart expand,Click on Chart expand,Chart expand should be clickable,Clicked successfully,PASS,,
29-01-2026 16:43,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,Indicator dropdown,Select A34SNO from Indicator dropdown,A34SNO should be selectable,Selected A34SNO,PASS,,
29-01-2026 16:43,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,Indicator expand,Click on Indicator expand,Indicator expand should be clickable,Clicked successfully,PASS,,
29-01-2026 16:43,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,Date point Mar 2020,Click on Date point Mar 2020,Date point Mar 2020 should be clickable,Clicked successfully,PASS,,
29-01-2026 16:43,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,Date point Nov 2022,Click on Date point Nov 2022,Date point Nov 2022 should be clickable,Clicked successfully,PASS,,
29-01-2026 16:43,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,Apply date filter,Click on Apply date filter,Apply date filter should be clickable,Clicked successfully,PASS,,
29-01-2026 16:43,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,Sector dropdown,Select health from Sector dropdown,health should be selectable,Selected health,PASS,,
29-01-2026 16:43,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,Date Nov 2020,Click on Date Nov 2020,Date Nov 2020 should be clickable,Clicked successfully,PASS,,
29-01-2026 16:43,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,Date Jun 2022,Click on Date Jun 2022,Date Jun 2022 should be clickable,Clicked successfully,PASS,,
29-01-2026 16:43,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,Open market indicator popup,Click on Open market indicator popup,Open market indicator popup should be clickable,Clicked successfully,PASS,,
29-01-2026 16:44,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,Home menu,Click on Home menu,Home menu should be clickable,Clicked successfully,PASS,,
29-01-2026 16:44,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,Demand Intelligence expand icon,Click on Demand Intelligence expand icon,Demand Intelligence expand icon should be clickable,Clicked successfully,PASS,,
29-01-2026 16:44,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,Predicted Power Nov 2027,Click on Predicted Power Nov 2027,Predicted Power Nov 2027 should be clickable,Clicked successfully,PASS,,
29-01-2026 16:44,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,Predicted Power Oct 2027,Click on Predicted Power Oct 2027,Predicted Power Oct 2027 should be clickable,Clicked successfully,PASS,,
29-01-2026 16:44,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,Predicted Power Jul 2027,Click on Predicted Power Jul 2027,Predicted Power Jul 2027 should be clickable,Clicked successfully,PASS,,
29-01-2026 16:44,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,Predicted Power Mar 2027,Click on Predicted Power Mar 2027,Predicted Power Mar 2027 should be clickable,Clicked successfully,PASS,,
29-01-2026 16:44,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,Open date filter,Click on Open date filter,Open date filter should be clickable,Clicked successfully,PASS,,
29-01-2026 16:44,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,Start date,Enter value in Start date,Start date should accept input,Entered value: 2023-01-02,PASS,,
29-01-2026 16:44,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,End date,Enter value in End date,End date should accept input,Entered value: 2027-12-30,PASS,,
29-01-2026 16:44,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,Granularity dropdown,Select 2 from Granularity dropdown,2 should be selectable,Selected 2,PASS,,
29-01-2026 16:44,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,Metric dropdown,Select 2 from Metric dropdown,2 should be selectable,Selected 2,PASS,,
29-01-2026 16:44,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,Search demand data,Click on Search demand data,Search demand data should be clickable,Clicked successfully,PASS,,
